Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000275115, 0.000159778, 0.000114148, 3.487e-06, 590, 1496, 15
0.000173193, 9.5231e-05, 7.7364e-05, 3.35e-06, 573, 1668, 13
0.000441075, 0.000320271, 0.000117719, 5.168e-06, 582, 1532, 13
0.000275759, 0.000128851, 0.000144239, 4.435e-06, 584, 1744, 8
0.000393394, 0.000200252, 0.000185104, 4.603e-06, 595, 1584, 13
0.00028287, 0.000163942, 0.000117619, 3.221e-06, 576, 1636, 11
0.000278199, 0.000162102, 0.000114908, 3.73e-06, 577, 1607, 14
0.00044116, 0.000252768, 0.000185534, 4.804e-06, 589, 1588, 11
0.000413573, 0.00023589, 0.000176059, 5.804e-06, 585, 1602, 16
0.00018824, 0.000107121, 8.0357e-05, 3.211e-06, 575, 1792, 16
0.000392638, 0.000209787, 0.000180682, 8.5e-06, 593, 1746, 18
0.000203662, 0.000122334, 8.0668e-05, 3.665e-06, 584, 1747, 14
0.000457903, 0.000262365, 0.000192933, 7.559e-06, 579, 1686, 17
0.000189109, 0.000111785, 7.6466e-05, 2.928e-06, 594, 1689, 16
0.000599696, 0.000324307, 0.000273715, 9.818e-06, 599, 1595, 16
0.000627835, 0.000285562, 0.000340865, 1.1314e-05, 607, 1752, 21
0.000401472, 0.000202696, 0.000197132, 8.205e-06, 611, 1609, 29
0.000336495, 0.000201603, 0.000133191, 3.161e-06, 612, 1863, 13
0.000315317, 0.000190901, 0.000123176, 3.995e-06, 603, 1489, 15
0.000262938, 0.000152557, 0.0001088, 4.063e-06, 604, 1739, 19
0.000309973, 0.000200973, 0.000107376, 3.235e-06, 618, 1643, 12
0.00109139, 0.000502071, 0.000586697, 1.7127e-05, 606, 1597, 12
0.00048677, 0.000241109, 0.000244209, 1.3504e-05, 608, 1637, 18
0.000452035, 0.000247, 0.000203443, 7.424e-06, 596, 1634, 18
0.000357756, 0.000242426, 0.000112497, 3.7e-06, 602, 1688, 14
0.000253911, 0.000152514, 0.000100423, 2.338e-06, 608, 1516, 9
0.000456681, 0.000262428, 0.000193044, 4.465e-06, 591, 1543, 10
0.000339237, 0.000222655, 0.000115089, 3.71e-06, 597, 1470, 12
0.000319094, 0.000200386, 0.000117745, 2.814e-06, 594, 1638, 9
